dcu_id,tank_id,sensor_node_id,date_and_time,water_temperature,ph_value,salinity,dissolved_oxygen
dcu0000,tank0000,t000n000,2019-08-22 00:00:00.000+1000,5.2,7.7,41.7,17.9
dcu0000,tank0000,t000n001,2019-08-22 00:00:00.000+1000,5.2,8.1,47.0,17.9
dcu0000,tank0000,t000n002,2019-08-22 00:00:00.000+1000,5.2,7.9,37.7,17.9
dcu0000,tank0000,t000n003,2019-08-22 00:00:00.000+1000,5.2,8.1,31.0,17.9
dcu0000,tank0000,t000n004,2019-08-22 00:00:00.000+1000,5.2,8.4,37.9,17.9
dcu0000,tank0000,t000n005,2019-08-22 00:00:00.000+1000,5.2,8.4,33.9,17.9
dcu0000,tank0000,t000n006,2019-08-22 00:00:00.000+1000,5.2,8.1,39.6,17.9
dcu0000,tank0000,t000n007,2019-08-22 00:00:00.000+1000,5.2,8.0,45.4,17.9
dcu0000,tank0000,t000n008,2019-08-22 00:00:00.000+1000,5.2,8.3,38.7,17.9
dcu0000,tank0000,t000n009,2019-08-22 00:00:00.000+1000,5.2,8.2,35.0,17.9
dcu0000,tank0001,t001n000,2019-08-22 00:00:00.000+1000,5.2,7.6,38.4,17.9
dcu0000,tank0001,t001n001,2019-08-22 00:00:00.000+1000,5.2,7.7,48.7,17.9
dcu0000,tank0001,t001n002,2019-08-22 00:00:00.000+1000,5.2,7.7,42.8,17.9
dcu0000,tank0001,t001n003,2019-08-22 00:00:00.000+1000,5.2,7.6,36.3,17.9
dcu0000,tank0001,t001n004,2019-08-22 00:00:00.000+1000,5.2,8.0,32.1,17.9
dcu0000,tank0001,t001n005,2019-08-22 00:00:00.000+1000,5.2,7.8,34.4,17.9
dcu0000,tank0001,t001n006,2019-08-22 00:00:00.000+1000,5.2,8.2,35.2,17.9
dcu0000,tank0001,t001n007,2019-08-22 00:00:00.000+1000,5.2,7.7,47.9,17.9
dcu0000,tank0001,t001n008,2019-08-22 00:00:00.000+1000,5.2,8.3,41.8,17.9
dcu0000,tank0001,t001n009,2019-08-22 00:00:00.000+1000,5.2,8.2,35.1,17.9
dcu0000,tank0002,t002n000,2019-08-22 00:00:00.000+1000,5.2,8.3,32.3,17.9
dcu0000,tank0002,t002n001,2019-08-22 00:00:00.000+1000,5.2,8.4,34.7,17.9
dcu0000,tank0002,t002n002,2019-08-22 00:00:00.000+1000,5.2,7.9,48.4,17.9
dcu0000,tank0002,t002n003,2019-08-22 00:00:00.000+1000,5.2,7.5,31.9,17.9
dcu0000,tank0002,t002n004,2019-08-22 00:00:00.000+1000,5.2,8.4,36.0,17.9
dcu0000,tank0002,t002n005,2019-08-22 00:00:00.000+1000,5.2,7.9,30.1,17.9
dcu0000,tank0002,t002n006,2019-08-22 00:00:00.000+1000,5.2,7.5,35.0,17.9
dcu0000,tank0002,t002n007,2019-08-22 00:00:00.000+1000,5.2,8.4,30.4,17.9
dcu0000,tank0002,t002n008,2019-08-22 00:00:00.000+1000,5.2,7.6,37.0,17.9
dcu0000,tank0002,t002n009,2019-08-22 00:00:00.000+1000,5.2,7.8,46.2,17.9
dcu0000,tank0003,t003n000,2019-08-22 00:00:00.000+1000,5.2,8.1,46.8,17.9
dcu0000,tank0003,t003n001,2019-08-22 00:00:00.000+1000,5.2,8.2,30.8,17.9
dcu0000,tank0003,t003n002,2019-08-22 00:00:00.000+1000,5.2,7.6,31.0,17.9
dcu0000,tank0003,t003n003,2019-08-22 00:00:00.000+1000,5.2,8.3,41.4,17.9
dcu0000,tank0003,t003n004,2019-08-22 00:00:00.000+1000,5.2,7.9,44.9,17.9
dcu0000,tank0003,t003n005,2019-08-22 00:00:00.000+1000,5.2,8.0,44.1,17.9
dcu0000,tank0003,t003n006,2019-08-22 00:00:00.000+1000,5.2,8.0,34.6,17.9
dcu0000,tank0003,t003n007,2019-08-22 00:00:00.000+1000,5.2,7.9,30.4,17.9
dcu0000,tank0003,t003n008,2019-08-22 00:00:00.000+1000,5.2,8.4,33.8,17.9
dcu0000,tank0003,t003n009,2019-08-22 00:00:00.000+1000,5.2,8.4,32.6,17.9
dcu0000,tank0004,t004n000,2019-08-22 00:00:00.000+1000,5.2,8.3,36.5,17.9
dcu0000,tank0004,t004n001,2019-08-22 00:00:00.000+1000,5.2,7.9,44.9,17.9
dcu0000,tank0004,t004n002,2019-08-22 00:00:00.000+1000,5.2,8.0,49.7,17.9
dcu0000,tank0004,t004n003,2019-08-22 00:00:00.000+1000,5.2,8.1,35.1,17.9
dcu0000,tank0004,t004n004,2019-08-22 00:00:00.000+1000,5.2,8.0,40.7,17.9
dcu0000,tank0004,t004n005,2019-08-22 00:00:00.000+1000,5.2,7.9,41.1,17.9
dcu0000,tank0004,t004n006,2019-08-22 00:00:00.000+1000,5.2,8.5,40.4,17.9
dcu0000,tank0004,t004n007,2019-08-22 00:00:00.000+1000,5.2,8.4,46.5,17.9
dcu0000,tank0004,t004n008,2019-08-22 00:00:00.000+1000,5.2,8.3,46.3,17.9
dcu0000,tank0004,t004n009,2019-08-22 00:00:00.000+1000,5.2,8.3,33.1,17.9
dcu0000,tank0000,t000n000,2019-08-22 00:15:00.000+1000,5.1,7.6,32.4,18.0
dcu0000,tank0000,t000n001,2019-08-22 00:15:00.000+1000,5.1,7.7,41.7,18.0
dcu0000,tank0000,t000n002,2019-08-22 00:15:00.000+1000,5.1,8.2,32.9,18.0
dcu0000,tank0000,t000n003,2019-08-22 00:15:00.000+1000,5.1,7.7,37.7,18.0
dcu0000,tank0000,t000n004,2019-08-22 00:15:00.000+1000,5.1,7.5,46.5,18.0
dcu0000,tank0000,t000n005,2019-08-22 00:15:00.000+1000,5.1,7.6,42.8,18.0
dcu0000,tank0000,t000n006,2019-08-22 00:15:00.000+1000,5.1,8.3,42.9,18.0
dcu0000,tank0000,t000n007,2019-08-22 00:15:00.000+1000,5.1,8.5,39.2,18.0
dcu0000,tank0000,t000n008,2019-08-22 00:15:00.000+1000,5.1,7.6,48.3,18.0
dcu0000,tank0000,t000n009,2019-08-22 00:15:00.000+1000,5.1,7.5,30.9,18.0
dcu0000,tank0001,t001n000,2019-08-22 00:15:00.000+1000,5.1,7.9,42.1,18.0
dcu0000,tank0001,t001n001,2019-08-22 00:15:00.000+1000,5.1,8.0,50.0,18.0
dcu0000,tank0001,t001n002,2019-08-22 00:15:00.000+1000,5.1,8.4,43.3,18.0
dcu0000,tank0001,t001n003,2019-08-22 00:15:00.000+1000,5.1,7.9,30.1,18.0
dcu0000,tank0001,t001n004,2019-08-22 00:15:00.000+1000,5.1,8.2,39.7,18.0
dcu0000,tank0001,t001n005,2019-08-22 00:15:00.000+1000,5.1,7.7,46.3,18.0
